audio_path,text,duration,speaker_id,split,source_metadata
/home/mahmud/datasets/usc/ISSAI_USC/train/794900477_1_17546_2.wav,to‘y ginasiz bo‘lmas,1.2265,794900477,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/591435940_1_10944_2.wav,qo‘rqoq qochib qutilmas,1.4665,591435940,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/902055363_1_5182_2.wav,baribir aytib beraman,1.5265,902055363,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/1474984339_2_16239_1.wav,har ziyon bir pand,1.6785,1474984339,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/788308763_1_936_1.wav,kimyo olimi,1.7665,788308763,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/1199766504_1_843_3.wav,mana bu yotoqxona,1.7665,1199766504,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/1232957210_2_3677_3.wav,oz qold,1.9465,1232957210,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/1270510605_1_4465_2.wav,unday bo‘lsa biz ketdik dedi,1.9465,1270510605,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/1112166923_1_861_1.wav,daromadingiz qancha,1.9465,1112166923,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/865012195_1_17455_3.wav,devorni nam yiqitar odamni g‘am,2.0065,865012195,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/1420845360_1_14900_2.wav,behuda olqishlagan do‘st emas,2.0665,1420845360,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/1065142343_1_16584_2.wav,to‘qlik sho‘xlik keltirar,2.0665,1065142343,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/853895560_1_18526_1.wav,tarbiya nasabdan muhim,2.1265,853895560,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/1118507769_1_435_3.wav,bugun nechanchi sana,2.1585,1118507769,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/1026004781_1_41398_1.wav,akademiyada ishlabdi,2.1865,1026004781,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/670527266_1_1537_1.wav,dedi asror jahl bilan,2.1865,670527266,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/762024172_1_18658_2.wav,chirigan daraxtga naqsh solmaydlar,2.1865,762024172,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/176475245_1_1094_1.wav,men tumov bo‘lganman,2.2465,176475245,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/1040437797_1_14839_2.wav,sayoq yurgan tayoq yer,2.3065,1040437797,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/1037735291_2_1423_2.wav,urinib qolyapti bolam boyaqish,2.3225,1037735291,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/521222920_1_594_3.wav,bu ibora tez tez ishlatiladimi,2.4265,521222920,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/1485751525_2_18603_1.wav,qalam qilichdan kuchli,2.4345,1485751525,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/776187442_1_41397_1.wav,nima uchun dedi,2.4665,776187442,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/623561801_1_1868_1.wav,quruqqina ohista buyurdi,2.4865,623561801,train,sidecar
/home/mahmud/datasets/usc/ISSAI_USC/train/523178386_1_887_1.wav,shu sababdan qo‘ng‘iroq qilayapman,2.6065,523178386,train,sidecar
